Date,Open,High,Low,Close,Volume,Market Cap
"Jan 19, 2018",0.007794,0.008037,0.007126,0.007443,"6,484,280","1,431,560,000"
"Jan 18, 2018",0.007297,0.008283,0.00706,0.007858,"9,960,020","1,340,160,000"
"Jan 17, 2018",0.006389,0.007384,0.004621,0.007244,"10,274,100","1,173,360,000"
"Jan 16, 2018",0.009269,0.00931,0.004724,0.006391,"12,361,800","1,702,380,000"
"Jan 15, 2018",0.010201,0.010802,0.009288,0.009317,"12,802,100","1,873,480,000"
"Jan 14, 2018",0.011255,0.011334,0.009702,0.010217,"12,715,700","2,067,110,000"
"Jan 13, 2018",0.011247,0.012463,0.01104,0.011222,"15,582,200","2,065,630,000"
"Jan 12, 2018",0.009398,0.011839,0.009046,0.011274,"15,781,700","1,726,030,000"
"Jan 11, 2018",0.01175,0.011763,0.008992,0.009351,"14,581,100","2,157,920,000"
"Jan 10, 2018",0.011763,0.012108,0.009759,0.011737,"17,522,800","2,155,690,000"
"Jan 09, 2018",0.013079,0.013321,0.011474,0.011815,"19,306,500","2,396,780,000"
"Jan 08, 2018",0.015433,0.015483,0.011216,0.013158,"24,272,600","2,828,190,000"
"Jan 07, 2018",0.016645,0.017227,0.013785,0.015402,"31,409,700","3,050,240,000"
"Jan 06, 2018",0.014711,0.017818,0.013996,0.016694,"67,505,500","2,695,910,000"
"Jan 05, 2018",0.006945,0.015466,0.00683,0.014134,"64,843,200","1,272,750,000"
"Jan 04, 2018",0.006386,0.006948,0.005847,0.006948,"11,761,900","1,170,310,000"
"Jan 03, 2018",0.006362,0.006531,0.00599,0.006408,"9,816,790","1,165,830,000"
"Jan 02, 2018",0.005878,0.006539,0.005752,0.00639,"9,927,780","1,077,120,000"
"Jan 01, 2018",0.0059,0.006012,0.005549,0.005924,"4,795,730","1,081,230,000"
"Dec 31, 2017",0.005042,0.006104,0.004993,0.005902,"8,142,580","924,018,000"
"Dec 30, 2017",0.006158,0.006158,0.004721,0.005171,"8,317,390","1,128,450,000"
"Dec 29, 2017",0.005841,0.006294,0.005702,0.006262,"9,339,730","1,070,400,000"
"Dec 28, 2017",0.006157,0.006237,0.005338,0.005729,"8,900,540","1,128,280,000"
"Dec 27, 2017",0.006588,0.006815,0.005907,0.006221,"14,649,300","1,207,320,000"
"Dec 26, 2017",0.006721,0.007425,0.005687,0.006586,"17,501,400","1,231,610,000"
